Timestamp;Force Z;Comments;
5486;-1.14;;
5492;-0.56;;
5497;-0.74;;
5503;-1.14;;
5509;0.19;;
5515;0.60;;
5520;0.48;;
5526;0.08;;
5532;-0.31;;
5538;0.04;;
5543;-0.02;;
5549;0.10;;
5555;0.10;;
5560;1.41;;
5566;0.19;;
5572;-0.45;;
5578;-0.04;;
5583;-0.21;;
5589;0.15;;
5595;0.33;;
5601;0.39;;
5606;-0.43;;
5612;-1.00;;
5618;-0.27;;
5623;-0.33;;
5629;-1.61;;
5635;-1.49;;
5641;-1.55;;
5646;-0.74;;
5652;-0.10;;
5658;0.13;;
5664;0.19;;
5669;0.19;;
5675;-0.31;;
5681;0.27;;
5686;0.91;;
5692;-0.31;;
5698;-0.31;;
5704;-0.31;;
5709;-0.60;;
5715;-1.35;;
5721;-1.00;;
5727;-0.83;;
5732;-0.95;;
5738;-0.31;;
5744;-0.54;;
5749;-1.00;;
5755;-0.31;;
5761;-0.33;;
5767;0.02;;
5772;-0.39;;
5778;-0.27;;
5784;-1.03;;
5790;-1.93;;
5795;-1.00;;
5801;-0.89;;
5807;-1.35;;
5812;-1.29;;
5818;-1.70;;
5824;-2.05;;
5830;-0.77;;
5835;0.21;;
5841;-0.66;;
5847;-0.95;;
5853;-1.58;;
5858;-0.48;;
5864;-0.95;;
5870;-1.76;;
5875;-0.66;;
5881;-0.95;;
5887;-1.41;;
5893;-0.25;;
5898;-1.00;;
5904;-1.08;;
5910;0.02;;
5916;-0.97;;
5921;-1.61;;
5927;-0.10;;
5933;-0.18;;
5938;-1.10;;
5944;-0.18;;
5950;-1.39;;
5956;-1.45;;
5961;-0.43;;
5967;-0.66;;
5973;-1.06;;
5979;-0.37;;
5984;-0.60;;
5990;-0.10;;
5996;-0.79;;
6001;-1.66;;
6007;-1.43;;
6013;-0.74;;
6019;-0.66;;
6024;-1.18;;
6030;-0.77;;
6036;-1.47;;
6042;-1.64;;
6047;-1.53;;
6053;-1.06;;
6059;-0.48;;
6064;-1.00;;
6070;-0.43;;
6076;-1.90;;
6082;-0.97;;
6087;-1.32;;
6093;-1.20;;
6099;-0.68;;
6105;-0.77;;
6110;-0.37;;
6116;-0.77;;
6122;-0.83;;
6127;-0.66;;
6133;-1.18;;
6139;-0.54;;
6145;-0.43;;
6150;-0.48;;
6156;0.15;;
6162;-0.43;;
6167;-0.43;;
6173;0.15;;
6179;-0.25;;
6185;-0.08;;
6190;0.21;;
6196;-0.19;;
6202;0.21;;
6208;0.21;;
6213;0.68;;
6219;-0.39;;
6225;-2.07;;
6230;-0.10;;
6236;-0.62;;
6242;-0.10;;
6248;-0.25;;
6253;-0.48;;
6259;-1.06;;
6265;-1.00;;
6271;-0.60;;
6276;-0.10;;
6282;-0.21;;
6288;-1.55;;
6293;-0.56;;
6299;0.13;;
6305;0.13;;
6311;-0.79;;
6316;-0.33;;
6322;-0.04;;
6328;-0.10;;
6334;-0.27;;
6339;0.36;;
6345;-0.39;;
6351;-1.55;;
6356;-0.45;;
6362;-0.37;;
6368;-0.77;;
6374;-0.08;;
6379;-0.54;;
6385;0.44;;
6391;0.62;;
6397;0.79;;
6402;0.50;;
6408;-0.31;;
6414;-1.41;;
6419;-0.68;;
6425;-0.74;;
6431;-0.68;;
6437;-1.61;;
6442;-0.39;;
6448;-0.21;;
6454;-0.33;;
6460;-0.21;;
6465;-0.50;;
6471;-0.50;;
6477;-1.66;;
6482;-0.39;;
6488;-0.16;;
6494;-0.56;;
6500;-0.16;;
6505;-0.48;;
6511;0.96;;
6517;1.66;;
6523;0.44;;
6528;0.56;;
6534;1.46;;
6540;-0.56;;
6545;0.25;;
6551;0.36;;
6557;1.06;;
6563;0.50;;
6568;1.49;;
6574;0.39;;
6580;0.50;;
6586;0.79;;
6591;0.94;;
6597;0.08;;
6603;-0.45;;
6608;0.60;;
6614;0.71;;
6620;0.10;;
6626;0.91;;
6631;0.56;;
6637;0.15;;
6643;0.33;;
6649;-0.08;;
6654;0.62;;
6660;0.73;;
6666;-0.02;;
6671;0.73;;
6677;-0.08;;
6683;0.79;;
6689;0.62;;
6694;-0.02;;
6700;-0.08;;
6706;1.29;;
6712;0.77;;
6717;1.00;;
6723;1.17;;
6729;1.29;;
6734;1.37;;
6740;0.56;;
6746;0.50;;
6752;1.08;;
6757;0.91;;
6763;1.43;;
6769;1.02;;
6775;0.96;;
6780;1.08;;
6786;0.68;;
6792;0.54;;
6797;0.42;;
6803;0.71;;
6809;1.81;;
6815;0.60;;
6820;0.91;;
6826;0.50;;
6832;0.91;;
6838;1.14;;
6843;0.91;;
6849;1.25;;
6855;1.20;;
6860;1.83;;
6866;1.08;;
6872;1.43;;
6878;1.12;;
6883;1.06;;
6889;1.64;;
6895;1.23;;
6901;1.58;;
6906;1.81;;
6912;1.17;;
6918;0.36;;
6923;0.13;;
6929;0.02;;
6935;0.27;;
6941;-0.02;;
6946;0.91;;
6952;0.79;;
6958;0.73;;
6964;1.54;;
6969;1.60;;
6975;1.72;;
6981;1.14;;
6986;0.91;;
6992;0.71;;
6998;1.12;;
7004;1.06;;
7009;1.17;;
7015;1.52;;
7021;0.96;;
7027;1.66;;
7032;1.95;;
7038;1.43;;
7044;2.06;;
7049;1.81;;
7055;1.41;;
7061;2.10;;
7067;0.71;;
7072;2.22;;
7078;2.29;;
7084;2.93;;
7090;2.24;;
7095;2.76;;
7101;1.95;;
7107;2.27;;
7112;2.50;;
7118;1.98;;
7124;1.64;;
7130;1.75;;
7135;1.89;;
7141;1.49;;
7147;1.37;;
7152;1.72;;
7158;1.83;;
7164;1.06;;
7170;1.87;;
7175;1.23;;
7181;2.56;;
7187;1.75;;
7193;1.56;;
7198;1.33;;
7204;1.67;;
7210;-0.47;;
7215;0.92;;
7221;1.54;;
7227;1.60;;
7233;1.37;;
7238;1.31;;
7244;1.25;;
7250;1.37;;
7256;1.02;;
7261;0.21;;
7267;0.79;;
7273;-0.43;;
7278;2.29;;
7284;2.93;;
7290;2.12;;
7296;1.37;;
7301;1.43;;
7307;1.77;;
7313;2.01;;
7319;2.06;;
7324;1.02;;
7330;1.66;;
7336;1.41;;
7341;1.75;;
7347;1.87;;
7353;1.41;;
7359;1.06;;
7364;1.25;;
7370;1.43;;
7376;1.43;;
7382;1.54;;
7387;1.54;;
7393;1.08;;
7399;1.02;;
7404;1.49;;
7410;1.66;;
7416;1.25;;
7422;1.58;;
7427;1.35;;
7433;1.29;;
7439;0.54;;
7445;0.36;;
7450;0.77;;
7456;1.06;;
7462;0.77;;
7467;1.29;;
7473;0.83;;
7479;1.08;;
7485;1.95;;
7490;1.20;;
7496;1.43;;
7502;1.08;;
7508;1.37;;
7513;0.39;;
7519;0.44;;
7525;1.14;;
7530;1.25;;
7536;1.00;;
7542;1.06;;
7548;0.77;;
7553;0.94;;
7559;1.46;;
7565;1.49;;
7571;1.43;;
7576;1.66;;
7582;1.89;;
7588;1.83;;
7593;1.08;;
7599;1.95;;
7605;1.25;;
7611;0.15;;
7616;0.10;;
7622;0.91;;
7628;-1.58;;
7633;0.96;;
7639;1.83;;
7645;1.14;;
7651;1.46;;
7656;1.98;;
7662;1.64;;
7668;2.45;;
7674;2.16;;
7679;1.66;;
7685;1.72;;
7691;-0.60;;
7696;1.31;;
7702;1.54;;
7708;2.10;;
7714;1.06;;
7719;1.93;;
7725;1.35;;
7731;0.48;;
7737;0.60;;
7742;0.60;;
7748;0.83;;
7754;1.23;;
7759;0.77;;
7765;0.79;;
7771;0.56;;
7777;0.39;;
7782;0.91;;
7788;1.14;;
7794;1.37;;
7800;1.66;;
7805;2.06;;
7811;1.60;;
7817;0.68;;
7822;1.70;;
7828;1.70;;
7834;1.29;;
7840;0.83;;
7845;0.89;;
7851;0.83;;
7857;2.33;;
7863;1.06;;
7868;1.29;;
7874;1.87;;
7880;1.64;;
7885;1.52;;
7891;1.41;;
7897;0.94;;
7903;0.94;;
7908;1.72;;
7914;1.37;;
7920;1.49;;
7926;1.31;;
7931;1.83;;
7937;1.60;;
7943;1.77;;
7948;1.08;;
7954;2.58;;
7960;1.72;;
7966;1.64;;
7971;0.77;;
7977;1.06;;
7983;0.77;;
7989;1.29;;
7994;0.94;;
8000;0.89;;
8006;1.58;;
8011;1.35;;
8017;1.46;;
8023;0.96;;
8029;1.49;;
8034;1.20;;
8040;1.37;;
8046;1.37;;
8052;1.08;;
8057;1.95;;
8063;1.49;;
8069;1.43;;
8074;1.77;;
8080;2.24;;
8086;1.66;;
8092;2.01;;
8097;0.56;;
8103;1.31;;
8109;0.77;;
8115;1.46;;
8120;0.71;;
8126;1.00;;
8132;1.12;;
8137;1.00;;
8143;0.54;;
8149;0.94;;
8155;1.81;;
8160;1.64;;
8166;1.85;;
8172;2.26;;
8177;1.39;;
8183;2.37;;
8189;1.62;;
8195;1.66;;
8200;1.89;;
8206;2.35;;
8212;1.31;;
8218;1.60;;
8223;2.01;;
8229;2.18;;
8235;2.06;;
8240;1.14;;
8246;2.06;;
8252;2.55;;
8258;3.18;;
8263;3.12;;
8269;4.74;;
8275;3.64;;
8281;3.30;;
8286;3.41;;
8292;3.64;;
8298;3.41;;
8303;3.35;;
8309;3.28;;
8315;3.80;;
8321;3.10;;
8326;2.70;;
8332;4.03;;
8338;3.72;;
8344;3.31;;
8349;3.08;;
8355;3.25;;
8361;3.08;;
